filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,label
61025001.wav,0.706097782,0.043395586,2635.072538,2803.985369,5988.922119,0.0634862,-270.2417908,48.50053406,3.50200963,45.0889473,4.418888092,21.37630272,3.688173771,15.66606426,-0.18667151,22.15048981,-2.511205196,12.49408436,2.726864576,11.10111904,1.160558224,13.39092541,-1.540805459,11.64087772,-0.645034075,9.255059242,Atlantic Spotted Dolphin
61025002.wav,0.725336373,0.035209905,3313.91324,3263.940882,7516.575382,0.074054919,-267.9100647,45.68343353,21.61937523,27.30714417,8.910491943,19.16917419,-3.864498854,20.69940376,-4.776202202,21.39803505,-4.002498627,15.26399612,3.29999733,10.99472713,-1.869270682,12.7224493,-0.31751436,12.85035992,-1.479114056,13.21704197,Atlantic Spotted Dolphin
61025003.wav,0.712042272,0.063868649,2796.731828,3023.156555,6327.85757,0.080576043,-273.5498657,49.18199158,26.61787415,29.63079262,5.597931862,23.48388672,-0.104183696,19.22906876,0.255924016,19.3769722,-1.413819075,13.08065796,3.502242565,10.73402119,-0.39596352,12.18194294,-0.427907228,12.7818985,0.30674845,11.59068012,Atlantic Spotted Dolphin
61025004.wav,0.55962795,0.033720821,3570.026148,2716.105736,6692.292866,0.172196238,-242.00354,20.6429863,1.941088438,63.8390274,-1.846892715,14.51098824,3.481848001,26.99467468,-8.776176453,17.69606018,-0.655458152,14.29836273,-1.756345034,11.3441,2.861472845,10.10349941,-1.272833943,11.73317909,-3.032367468,10.3082943,Atlantic Spotted Dolphin
61025005.wav,0.774888337,0.03013676,2282.081172,2899.08389,6058.952251,0.034042626,-295.7369385,71.72072601,11.31175613,28.62782097,9.752191544,20.79167175,-1.614885211,20.56936455,5.443422318,14.6438694,0.215070054,15.08712864,5.887783527,12.36989021,-1.969429731,14.15684032,0.45242399,11.48754978,-2.373881578,9.839290619,Atlantic Spotted Dolphin
61025006.wav,0.772472978,0.038273979,2583.925406,2750.482496,5729.957018,0.056826943,-264.3015137,51.07449341,-1.895955682,50.80015182,2.858662367,13.19096279,6.992297649,19.22746277,-1.300363779,14.23408794,3.311811686,14.67878342,-1.054797173,15.03378963,0.008522244,12.40596771,-0.319738686,11.150383,-3.624700546,11.67405605,Atlantic Spotted Dolphin
61025007.wav,0.686588705,0.051646214,3071.783815,2874.228959,6490.702418,0.108057926,-266.8837891,37.5878334,13.91736984,49.95294189,-11.98116779,20.64460182,3.862199545,20.43559456,-8.631848335,24.56519508,-3.621111393,11.53992367,4.904790878,6.935405731,3.866616964,9.290509224,2.92096591,10.17843819,1.020200729,10.30234814,Atlantic Spotted Dolphin
61025008.wav,0.719876409,0.033520132,3285.106661,2979.730563,6837.571154,0.105054353,-248.2801666,47.63673401,11.88726902,37.10873032,-0.086402513,17.5451088,3.080246687,20.11483192,-1.400814295,18.52074051,-1.649806738,15.63247013,0.230563417,9.650549889,0.688909113,11.61311436,-0.154838115,12.44921875,-3.168626547,10.91549015,Atlantic Spotted Dolphin
61025009.wav,0.740685463,0.029395079,2828.823445,2752.906246,6044.974558,0.09522341,-273.5190125,57.83946609,4.597439766,52.70830917,-1.450134277,13.73637962,5.389420033,21.01313782,-7.854854584,21.55448914,-2.476923704,16.19072151,0.208552539,12.55720997,2.998764038,9.45808506,0.72841388,12.79044342,-3.845328569,11.1374321,Atlantic Spotted Dolphin
61025010.wav,0.672271609,0.022936696,415.4182219,1014.481325,662.6965609,0.011280407,-461.7706909,198.024765,46.95471573,9.570099831,-3.951352119,13.59378433,18.9897747,6.678350449,3.467174768,12.43545246,11.72321129,6.795921803,6.38303566,6.355434895,6.517701626,5.256588459,2.584892035,5.338034153,2.794694424,2.860668182,Atlantic Spotted Dolphin
